,Giorno,T Media,T min,T max,Precip.,Umidità,Vento Max,Raffica,Fenomeni,Info,mese,anno,citta
0,1,13.4 °C,10 °C,16 °C,n/d,88 %,14.8 km/h,-,,,Giugno,1995,Itri
1,2,15.3 °C,10 °C,19 °C,-,84 %,14.8 km/h,-,,,Giugno,1995,Itri
2,3,17.5 °C,12 °C,22 °C,-,76 %,16.5 km/h,-,Nessuno,,Giugno,1995,Itri
3,4,19.4 °C,11 °C,25 °C,-,65 %,14.8 km/h,-,Nessuno,,Giugno,1995,Itri
4,5,19.4 °C,12 °C,25 °C,-,63 %,18.3 km/h,-,Nessuno,,Giugno,1995,Itri
5,6,18.7 °C,12 °C,23 °C,-,63 %,22.2 km/h,-,Nessuno,,Giugno,1995,Itri
6,7,14.5 °C,9 °C,22 °C,-,74 %,9.4 km/h,-,Nessuno,,Giugno,1995,Itri
7,8,18.8 °C,14 °C,24 °C,-,79 %,9.4 km/h,-,Nessuno,,Giugno,1995,Itri
8,9,18.1 °C,11 °C,25 °C,-,69 %,16.5 km/h,-,Nessuno,,Giugno,1995,Itri
9,10,21.1 °C,13 °C,25 °C,-,58 %,24.1 km/h,-,Nessuno,,Giugno,1995,Itri
10,11,20.3 °C,14 °C,23 °C,-,73 %,20.6 km/h,-,Nessuno,,Giugno,1995,Itri
11,12,16.8 °C,13 °C,21 °C,n/d,79 %,18.3 km/h,-,,,Giugno,1995,Itri
12,13,18.3 °C,14 °C,23 °C,-,70 %,20.6 km/h,-,Nessuno,,Giugno,1995,Itri
13,14,18 °C,10 °C,24 °C,-,66 %,16.5 km/h,-,Nessuno,,Giugno,1995,Itri
14,15,19.1 °C,11 °C,25 °C,-,61 %,14.8 km/h,-,Nessuno,,Giugno,1995,Itri
15,16,19.9 °C,12 °C,27 °C,-,59 %,22.2 km/h,-,Nessuno,,Giugno,1995,Itri
16,17,18.8 °C,12 °C,25 °C,-,64 %,18.3 km/h,-,Nessuno,,Giugno,1995,Itri
17,18,20.2 °C,11 °C,28 °C,-,53 %,18.3 km/h,-,Nessuno,,Giugno,1995,Itri
18,19,21.2 °C,14 °C,27 °C,-,57 %,18.3 km/h,-,Nessuno,,Giugno,1995,Itri
19,20,22.2 °C,15 °C,28 °C,-,57 %,20.6 km/h,-,Nessuno,,Giugno,1995,Itri
20,21,22.4 °C,15 °C,29 °C,-,53 %,18.3 km/h,-,Nessuno,,Giugno,1995,Itri
21,22,17.5 °C,15 °C,24 °C,-,72 %,20.6 km/h,-,Nessuno,,Giugno,1995,Itri
22,23,22.5 °C,16 °C,28 °C,n/d,68 %,25.9 km/h,-,,,Giugno,1995,Itri
23,24,18.8 °C,12 °C,23 °C,-,64 %,29.4 km/h,-,Nessuno,,Giugno,1995,Itri
24,25,18.7 °C,11 °C,25 °C,-,54 %,11.1 km/h,-,Nessuno,,Giugno,1995,Itri
25,26,22.4 °C,12 °C,31 °C,-,47 %,14.8 km/h,-,Nessuno,,Giugno,1995,Itri
26,27,25.2 °C,17 °C,33 °C,-,46 %,18.3 km/h,-,Nessuno,,Giugno,1995,Itri
27,28,24.7 °C,19 °C,29 °C,-,53 %,18.3 km/h,-,Nessuno,,Giugno,1995,Itri
28,29,20 °C,18 °C,24 °C,n/d,81 %,14.8 km/h,-,,,Giugno,1995,Itri
